date,ADDRESS_count,PRICE_mean,PRICE_median,tax_assessed_value_mean,tax_assessed_value_median,overpriced_adjusted_mean,overpriced_adjusted_median
2022-04-13,71,673713.8028169014,695000.0,530408.8732394367,542800.0,126333.14285714286,128950.0
2022-04-16,117,669329.5555555555,679900.0,531528.0341880342,533710.0,126319.10185185185,126655.0
2022-04-19,79,680034.1265822785,684900.0,531850.0,533710.0,131092.33333333334,133010.0
2022-04-22,150,670954.86,677000.0,537417.6,535505.0,126418.62937062937,128760.0
2022-04-23,157,666706.9299363057,675000.0,534301.0828025477,533400.0,125767.22,128645.0
2022-04-24,148,670222.2162162162,684950.0,537710.472972973,541340.0,125454.63120567377,127730.0
2022-04-26,104,679281.375,679950.0,540820.9615384615,534985.0,128631.42268041238,129930.0
2022-04-27,89,677018.2471910112,680000.0,536598.0898876404,533400.0,128907.91463414633,133585.0
2022-04-28,119,675744.4453781513,689000.0,537616.7226890756,532650.0,126857.4862385321,132800.0
2022-04-30,155,672072.5548387096,680000.0,534108.8387096775,530070.0,127986.35915492958,130455.0
2022-05-01,139,669457.5971223022,679000.0,531815.9712230216,523840.0,127192.14960629921,130570.0
2022-05-02,132,669507.6212121212,677000.0,529887.6515151515,522115.0,128758.775,133615.0
2022-05-03,108,668405.4537037037,675000.0,527051.8518518518,522115.0,130413.47474747474,136140.0
2022-05-06,153,672365.0130718955,679000.0,526922.0261437908,529060.0,131862.92753623187,136315.0
2022-05-08,140,670805.3214285715,685000.0,522478.71428571426,525470.0,133081.9516129032,139300.0
2022-05-11,105,667955.9619047618,684888.0,518023.14285714284,520330.0,131322.72826086957,136270.0
