ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,tax_assessed_value,overpriced,date
7710 Havenbrook Way,Springfield,VA,22153,529000,453370.0,75630.0,2021-08-30
6816 Ericka Ave,Alexandria,VA,22310,520000,480000.0,40000.0,2021-08-30
7405 Calico Ct,Springfield,VA,22153,675000,566690.0,108310.0,2021-08-30
8588 Wyngate Manor Ct,Alexandria,VA,22309,537500,486530.0,50970.0,2021-08-30
2810 Hyson Ln,Falls Church,VA,22043,599000,488400.0,110600.0,2021-08-30
8929 Applecross Ln,Springfield,VA,22153,624999,613520.0,11479.0,2021-08-30
4668 Luxberry Dr,Fairfax,VA,22032,639900,526030.0,113870.0,2021-08-30
1907 Old Stage Rd,Alexandria,VA,22308,759000,621830.0,137170.0,2021-08-30
5610 Wood Thrush Ct,Fairfax,VA,22032,749999,613910.0,136089.0,2021-08-30
13608 Old Chatwood Pl,Chantilly,VA,20151,725000,651260.0,73740.0,2021-08-30
14810 Edman Cir,Centreville,VA,20121,469950,378020.0,91930.0,2021-08-30
8306 Southern Oaks Ct,Lorton,VA,22079,519900,437630.0,82270.0,2021-08-30
11696 Stockbridge Ln,Reston,VA,20194,750000,628940.0,121060.0,2021-08-30
6243 Covered Bridge Rd,Burke,VA,22015,735500,610030.0,125470.0,2021-08-30
9973 Whitewater Dr,Burke,VA,22015,555000,425580.0,129420.0,2021-08-30
9593 Lagersfield Cir,Vienna,VA,22181,745000,691810.0,53190.0,2021-08-30
3519 Blair Rd,Falls Church,VA,22041,699900,509870.0,190030.0,2021-08-30
12703 Carlsbad Ct,Herndon,VA,20171,590000,492730.0,97270.0,2021-08-30
2365 Hunters Square Ct,Reston,VA,20191,419900,354120.0,65780.0,2021-08-30
9393 Peter Roy Ct,Burke,VA,22015,549900,507310.0,42590.0,2021-08-30
7600 Fallswood Way,Lorton,VA,22079,624900,473510.0,151390.0,2021-08-30
4213 Nutwood Way,Fairfax,VA,22032,649900,545330.0,104570.0,2021-08-30
3923 Fairview Dr,Fairfax,VA,22031,650000,552300.0,97700.0,2021-08-30
7355 Bloomington Ct,Springfield,VA,22150,624000,577140.0,46860.0,2021-08-30
12512 Glenbrooke Woods Dr,Herndon,VA,20171,794900,664930.0,129970.0,2021-08-30
6620 Coachman Dr,Springfield,VA,22152,674900,537070.0,137830.0,2021-08-30
3125 Blue Barn Way,Fairfax,VA,22031,715000,661620.0,53380.0,2021-08-30
12632 Heron Ridge Dr,Fairfax,VA,22030,649900,563820.0,86080.0,2021-08-30
8549 Gwynedd Way,Springfield,VA,22153,499900,410160.0,89740.0,2021-08-30
1966 Hopewood Dr,Falls Church,VA,22043,789000,721640.0,67360.0,2021-08-30
14110 Rocky Valley Dr,Centreville,VA,20121,449900,389970.0,59930.0,2021-08-30
5124 Glen Meadow Dr,Centreville,VA,20120,504900,410400.0,94500.0,2021-08-30
5220 Cather Rd,Springfield,VA,22151,699888,567950.0,131938.0,2021-08-30
5748 Mason Bluff Dr,Burke,VA,22015,512000,430190.0,81810.0,2021-08-30
26195 Ocala Cir,Chantilly,VA,20152,655000,546380.0,108620.0,2021-08-30
3804 Carolyn Ave,Fairfax,VA,22031,639000,445300.0,193700.0,2021-08-30
7203 Arthur Dr,Falls Church,VA,22046,725000,533200.0,191800.0,2021-08-30
3956 Rosebay Ct,Fairfax,VA,22033,584990,485350.0,99640.0,2021-08-30
6861 Kerrywood Cir,Centreville,VA,20121,540000,414870.0,125130.0,2021-08-30
2701 Wrexham Ct,Herndon,VA,20171,700000,628830.0,71170.0,2021-08-30
6425 Nice Pl,Alexandria,VA,22310,645000,533170.0,111830.0,2021-08-30
9003 Barb Anne Ct,Springfield,VA,22152,679000,609050.0,69950.0,2021-08-30
7786 Newington Woods Dr,Springfield,VA,22153,658000,527760.0,130240.0,2021-08-30
8017 Galla Knoll Cir,Springfield,VA,22153,634900,516570.0,118330.0,2021-08-30
7312 Spring View Ct,Springfield,VA,22153,489975,428250.0,61725.0,2021-08-30
8028 Holland Rd,Alexandria,VA,22306,699900,398660.0,301240.0,2021-08-30
5400 Fremont St,Springfield,VA,22151,559888,466860.0,93028.0,2021-08-30
5709 Wooden Hawk Ln,Burke,VA,22015,799888,660420.0,139468.0,2021-08-30
1110 Artic Quill Rd,Herndon,VA,20170,599000,487790.0,111210.0,2021-08-30
1662 Valencia Way,Reston,VA,20190,475000,440760.0,34240.0,2021-08-30
9518 Blackburn Dr,Burke,VA,22015,699000,574390.0,124610.0,2021-08-30
